# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
0.0727       	2.836262e-02
0.07275      	2.836262e-02
0.0728       	2.836262e-02
0.07285      	2.836263e-02
0.0729       	2.836263e-02
0.07295      	2.836263e-02
0.073        	2.836262e-02
0.07305      	2.836263e-02
0.0731       	2.836262e-02
0.07315      	2.836263e-02
0.0732       	2.836262e-02
0.07325      	2.836263e-02
0.0733       	2.836261e-02
0.07335      	2.836262e-02
0.0734       	2.836261e-02
0.07345      	2.836262e-02
0.0735       	2.836261e-02
0.07355      	2.836262e-02
0.0736       	2.836260e-02
0.07365      	2.836261e-02
0.0737       	2.836260e-02
0.07375      	2.836261e-02
0.0738       	2.836260e-02
0.07385      	2.836261e-02
0.0739       	2.836260e-02
0.07395      	2.836260e-02
0.074        	2.836259e-02
0.07405      	2.836260e-02
0.0741       	2.836260e-02
0.07415      	2.836261e-02
0.0742       	2.836259e-02
0.07425      	2.836261e-02
0.0743       	2.836261e-02
0.07435      	2.836261e-02
0.0744       	2.836260e-02
0.07445      	2.836261e-02
0.0745       	2.836261e-02
0.07455      	2.836260e-02
0.0746       	2.836261e-02
0.07465      	2.836260e-02
0.0747       	2.836261e-02
0.07475      	2.836260e-02
0.0748       	2.836261e-02
0.07485      	2.836260e-02
0.0749       	2.836260e-02
0.07495      	2.836261e-02
0.075        	2.836259e-02
0.07505      	2.836260e-02
0.0751       	2.836260e-02
0.07515      	2.836261e-02
0.0752       	2.836258e-02
0.07525      	2.836261e-02
0.0753       	2.836260e-02
0.07535      	2.836260e-02
0.0754       	2.836261e-02
0.07545      	2.836261e-02
0.0755       	2.836261e-02
0.07555      	2.836260e-02
0.0756       	2.836261e-02
0.07565      	2.836261e-02
0.0757       	2.836259e-02
0.07575      	2.836261e-02
0.0758       	2.836260e-02
0.07585      	2.836259e-02
0.0759       	2.836261e-02
0.07595      	2.836260e-02
0.076        	2.836260e-02
0.07605      	2.836260e-02
0.0761       	2.836261e-02
0.07615      	2.836260e-02
0.0762       	2.836261e-02
0.07625      	2.836259e-02
0.0763       	2.836261e-02
0.07635      	2.836260e-02
0.0764       	2.836260e-02
0.07645      	2.836260e-02
0.0765       	2.836260e-02
0.07655      	2.836259e-02
0.0766       	2.836260e-02
0.07665      	2.836259e-02
0.0767       	2.836259e-02
0.07675      	2.836259e-02
0.0768       	2.836257e-02
0.07685      	2.836258e-02
0.0769       	2.836257e-02
0.07695      	2.836257e-02
0.077        	2.836255e-02
0.07705      	2.836258e-02
0.0771       	2.836259e-02
0.07715      	2.836257e-02
0.0772       	2.836259e-02
0.07725      	2.836258e-02
0.0773       	2.836257e-02
0.07735      	2.836260e-02
0.0774       	2.836260e-02
0.07745      	2.836259e-02
0.0775       	2.836261e-02
0.07755      	2.836261e-02
0.0776       	2.836262e-02
0.07765      	2.836261e-02
0.0777       	2.836263e-02
0.07775      	2.836262e-02
0.0778       	2.836263e-02
0.07785      	2.836263e-02
0.0779       	2.836264e-02
0.07795      	2.836264e-02
0.078        	2.836265e-02
0.07805      	2.836263e-02
0.0781       	2.836264e-02
0.07815      	2.836263e-02
0.0782       	2.836263e-02
0.07825      	2.836262e-02
0.0783       	2.836263e-02
0.07835      	2.836262e-02
0.0784       	2.836263e-02
0.07845      	2.836262e-02
0.0785       	2.836262e-02
0.07855      	2.836261e-02
0.0786       	2.836262e-02
0.07865      	2.836262e-02
0.0787       	2.836261e-02
0.07875      	2.836262e-02
0.0788       	2.836262e-02
0.07885      	2.836260e-02
0.0789       	2.836261e-02
0.07895      	2.836262e-02
0.079        	2.836260e-02
0.07905      	2.836262e-02
0.0791       	2.836263e-02
0.07915      	2.836262e-02
0.0792       	2.836260e-02
0.07925      	2.836262e-02
0.0793       	2.836262e-02
0.07935      	2.836260e-02
0.0794       	2.836262e-02
0.07945      	2.836263e-02
0.0795       	2.836262e-02
0.07955      	2.836262e-02
0.0796       	2.836261e-02
0.07965      	2.836262e-02
0.0797       	2.836263e-02
0.07975      	2.836261e-02
0.0798       	2.836263e-02
0.07985      	2.836263e-02
0.0799       	2.836263e-02
0.07995      	2.836261e-02
0.08         	2.836263e-02
